Persons Employed as Substitute Teachers
School Name,Grade Level,Subjects Elementary Long Term, Short Term, Mathematics Long Term, Short Term, Science Long Term, Short Term, Social Studies Long Term, Short Term, English Long Term, Short Term
Perkins (Ute) ES,PK-5,1,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Petersen ES,PK-5,10,187,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Peterson Behavior Jr./Sr. HS,6-12,N/A,N/A,1,9,3,0,0,5,0,0
Piggott ES,PK-5,3,398,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pittman ES,PK-5,14,83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Priest ES,PK-5,12,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prison Program HS,09-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Quest Program,01-12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rainbow Dream AC Academy,06-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rainbow Dreams Academy,K-6,85,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rancho HS,9-12,N/A,N/A,4,59,4,110,2,112,6,97
Red Rock ES,PK-5,11,158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reed ES,PK-5,12,91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reedom ES,PK-5,9,302,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reid ES,K-5,0,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhodes ES,PK-5,12,222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ries ES,PK-5,11,281,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Roberts ES,PK-5,8,207,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Robison MS,6-8,N/A,N/A,4,44,1,89,2,12,2,66
Rogers ES,PK-5,7,195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rogich MS,6-8,N/A,N/A,2,56,1,41,0,12,1,67
Ronnow ES,PK-5,6,114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ronzone ES,PK-5,13,574,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Roundy ES,PK-5,4,152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rowe ES,PK-5,3,81,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rundle ES,PK-5,8,116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandy Valley ES,Pk-5,4,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sandy Valley Jr/Sr HS,6-12,N/A,N/A,0,6,0,4,0,2,0,4
Saville MS,6-8,N/A,N/A,0,82,0,35,0,7,0,48
Sawyer MS,6-8,N/A,N/A,1,37,0,17,0,63,0,103
Scherkenbach ES,PK-5,5,242,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Schofield MS,6-8,N/A,N/A,3,11,1,21,1,6,3,32
